,Date,Ticker,Open,High,Low,Close,Volume
0,2023-12-26,AAPL,191.7986702097743,192.0760494430794,191.02596875756228,191.24391174316406,28919300
1,2023-12-26,GOOG,141.91561808969738,142.87344590686627,141.43919556634015,141.75682067871094,11170100
2,2023-12-26,META,352.5274850525142,354.5037013689945,350.9981895908106,352.36859130859375,9898600
3,2023-12-26,MSFT,369.49097688586306,371.4024792784928,368.01301297831964,369.1559753417969,12673100
4,2023-12-26,TSLA,254.49000549316406,257.9700012207031,252.91000366210938,256.6099853515625,86892400
5,2023-12-27,AAPL,190.68914273833013,191.68968812345565,189.30223153241622,191.34295654296875,48087700
6,2023-12-27,GOOG,141.76675222942427,142.25311004255803,140.00098848653337,140.38710021972656,17288400
7,2023-12-27,META,353.59994702628666,356.5096143210113,352.8452094540773,355.34771728515625,13207900
8,2023-12-27,MSFT,368.20019317568403,369.55006195328735,367.3331162784424,368.5746154785156,14905400
9,2023-12-27,TSLA,258.3500061035156,263.3399963378906,257.5199890136719,261.44000244140625,106494400
10,2023-12-28,AAPL,192.3237251836183,192.83886456296054,191.3627987965534,191.7689666748047,34049900
11,2023-12-28,GOOG,140.7940508371397,141.2109224691849,139.77965562656306,140.22828674316406,12192500
12,2023-12-28,META,357.2048130452383,359.38953370527474,355.32790921917086,355.8343811035156,11798800
13,2023-12-28,MSFT,369.8554894003956,370.92947276145065,368.66327375287557,369.7668151855469,14327000
14,2023-12-28,TSLA,263.6600036621094,265.1300048828125,252.7100067138672,253.17999267578125,113619900
15,2023-12-29,AAPL,192.08593771837442,192.58125990446206,189.9362412446781,190.728759765625,42672100
16,2023-12-29,GOOG,139.63275092791076,140.3821354476703,138.8585585697647,139.88088989257812,14881000
17,2023-12-29,META,356.4997762626334,357.50277987070984,349.37952953483807,351.5046691894531,14987100
18,2023-12-29,MSFT,370.476173704129,371.61913572067436,367.9932059180609,370.5155944824219,18730800
19,2023-12-29,TSLA,255.10000610351562,255.19000244140625,247.42999267578125,248.47999572753906,100891600
20,2024-01-02,AAPL,185.39908100307179,186.6770206585062,182.16958591702465,183.90321350097656,82488700
21,2024-01-02,GOOG,138.56076783422094,139.56821116253045,136.714613812198,138.52105712890625,20071900
22,2024-01-02,META,348.8829853109618,350.7102180387925,337.65144247298053,343.88787841796875,19042200
23,2024-01-02,MSFT,368.36769584733304,370.3777351043963,361.3818569854959,365.421630859375,25258600
24,2024-01-02,TSLA,250.0800018310547,251.25,244.41000366210938,248.4199981689453,104654200
25,2024-01-03,AAPL,182.49651173581816,184.1409850600839,181.7138941984477,182.52622985839844,58414500
26,2024-01-03,GOOG,137.56821679113014,140.03967062436058,137.39946900574765,139.3151092529297,18974300
27,2024-01-03,META,342.5870078987604,345.5364072820675,340.7994756721536,342.0805358886719,15451100
28,2024-01-03,MSFT,363.58897105283376,367.7765353087628,363.09631643448915,365.1556091308594,23083500
29,2024-01-03,TSLA,244.97999572753906,245.67999267578125,236.32000732421875,238.4499969482422,121082600
30,2024-01-04,AAPL,180.44587486910356,181.37708304150152,179.18776734055538,180.2081298828125,71983600
31,2024-01-04,GOOG,138.8089287802238,139.58807353971088,136.982614675602,137.01239013671875,18253300
32,2024-01-04,META,342.1102764024705,345.7349510637001,341.0179008085137,344.71209716796875,12099900
33,2024-01-04,MSFT,365.22457289866344,367.61886702823733,361.7759907127874,362.53466796875,20901500
34,2024-01-04,TSLA,239.25,242.6999969482422,237.72999572753906,237.92999267578125,102629300
35,2024-01-05,AAPL,180.28735888479392,181.0501441007679,178.48437903023975,179.48492431640625,62379700
36,2024-01-05,GOOG,137.32207747702685,137.7766606176353,135.83125983765348,136.3672332763672,15439500
37,2024-01-05,META,344.5829304814247,351.04778049334163,343.8580138665501,349.508544921875,13920700
38,2024-01-05,MSFT,363.54952100172824,366.59412268972636,361.11580618022657,362.3474426269531,21004600
39,2024-01-05,TSLA,236.86000061035156,240.1199951171875,234.89999389648438,237.49000549316406,92488900
40,2024-01-08,AAPL,180.38643729162627,183.86360885082058,179.80196071659407,183.823974609375,59144500
41,2024-01-08,GOOG,136.97267641963853,139.59302266707593,136.85357459095405,139.4838409423828,17645300
42,2024-01-08,META,352.23944569820395,356.4897539748458,349.60780459707183,356.1719665527344,13890200
43,2024-01-08,MSFT,363.8746851951502,369.6880336849266,363.5889671694232,369.1855163574219,23134000
44,2024-01-08,TSLA,236.13999938964844,241.25,235.3000030517578,240.4499969482422,85166600
45,2024-01-09,AAPL,182.19932576748687,183.41781421075365,181.0204564512382,183.4079132080078,42841800
46,2024-01-09,GOOG,139.01734435202192,141.73695233295356,138.74935008117012,141.4987335205078,19579700
47,2024-01-09,META,353.9276468114624,358.13825453556467,352.89485280677195,354.95050048828125,13463900
48,2024-01-09,MSFT,366.54494103821247,370.46645300820035,365.73698015432115,370.2694091796875,20830000
49,2024-01-09,TSLA,238.11000061035156,238.9600067138672,232.0399932861328,234.9600067138672,96705700
50,2024-01-10,AAPL,182.6253074687535,184.6561164657865,182.1993225017619,184.44808959960938,46792900
51,2024-01-10,GOOG,141.4590525315388,143.44911655095675,141.3995016085915,142.72952270507812,16641900
52,2024-01-10,META,357.671577377967,370.35298322336445,356.58911184712105,367.9001159667969,22117200
53,2024-01-10,MSFT,370.84081671988235,378.52624647847034,370.7915632878579,377.14678955078125,25514200
54,2024-01-10,TSLA,235.10000610351562,235.5,231.2899932861328,233.94000244140625,91628500
55,2024-01-11,AAPL,184.7947925921475,185.3000308909078,181.90211286972462,183.8536834716797,49128400
56,2024-01-11,GOOG,143.81636594660668,145.56822619459635,141.15630872935984,142.60047912597656,17471100
57,2024-01-11,META,369.54857861141966,370.19406356936474,360.41238591073494,367.10565185546875,17205400
58,2024-01-11,MSFT,380.3293303889791,384.9405699760392,374.79189779905875,378.9794616699219,27850800
59,2024-01-11,TSLA,230.57000732421875,230.92999267578125,225.3699951171875,227.22000122070312,105873600
60,2024-01-12,AAPL,184.3192926371913,184.99293868218925,183.45743685571247,184.18060302734375,40477800
61,2024-01-12,GOOG,143.26547572373775,143.66250706209212,142.29277544886418,143.16622924804688,13998700
62,2024-01-12,META,367.59220145000734,374.4443300465793,366.9765072427444,371.89215087890625,19310000
63,2024-01-12,MSFT,379.8268898847667,382.9700291017084,378.9992336430531,382.76312255859375,21661200
64,2024-01-12,TSLA,220.0800018310547,225.33999633789062,217.14999389648438,218.88999938964844,123043800
